lat,lon,name,admin1,admin2,cc
41.14056,20.14611,Labinot-Fushë,,,AL
40.78889,20.18889,Kushovë,,,AL
41.77972,20.08361,Kurbnesh,,,AL
40.86778,20.36361,Kukur,,,AL
42.07694,20.42194,Kukës,,,AL
41.81194,20.05889,Kthella e Epërme,,,AL
42.19694,20.41333,Krumë,,,AL
41.42278,20.205,Krastë,,,AL
40.61861,20.78083,Korçë,,,AL
42.07806,20.34194,Kolsh,,,AL
40.80556,20.25111,Kodovjat,,,AL
41.50694,20.08667,Klos,,,AL
40.94611,20.00972,Klos,,,AL
40.31306,20.18944,Këlcyrë,,,AL
41.72944,20.37722,Kastriot,,,AL
40.12167,20.0275,Kardhiq,,,AL
41.83889,20.36667,Kalis,,,AL
42.1875,20.0025,Iballë,,,AL
41.15667,20.39722,Hotolisht,,,AL
40.60833,20.91417,Hoçisht,,,AL
40.86972,20.18444,Gramsh,,,AL
41.14556,20.24,Gostimë,,,AL
